Size,Runtime
10,0.000010
20,0.000010
30,0.000000
40,0.000010
50,0.000000
60,0.000010
70,0.000000
80,0.000010
90,0.000010
100,0.000000
110,0.000010
120,0.000000
130,0.000000
140,0.000010
150,0.000000
160,0.000010
170,0.000010
180,0.000000
190,0.000000
200,0.000010
210,0.000010
220,0.000000
230,0.000000
240,0.000000
250,0.000010
260,0.000010
270,0.000010
280,0.000010
290,0.000010
300,0.000010
310,0.000010
320,0.000010
330,0.000000
340,0.000000
350,0.000000
360,0.000000
370,0.000000
380,0.000000
390,0.000000
400,0.000000
410,0.000010
420,0.000010
430,0.000010
440,0.000010
450,0.000010
460,0.000010
470,0.000000
480,0.000010
490,0.000010
500,0.000010
510,0.000000
520,0.000010
530,0.000010
540,0.000010
550,0.000010
560,0.000010
570,0.000010
580,0.000010
590,0.000010
600,0.000010
610,0.000010
620,0.000000
630,0.000010
640,0.000000
650,0.000010
660,0.000010
670,0.000010
680,0.000010
690,0.000010
700,0.000010
710,0.000010
720,0.000010
730,0.000000
740,0.000010
750,0.000000
760,0.000010
770,0.000010
780,0.000010
790,0.000010
800,0.000010
810,0.000010
820,0.000010
830,0.000000
840,0.000010
850,0.000050
860,0.000020
870,0.000010
880,0.000010
890,0.000010
900,0.000010
910,0.000010
920,0.000010
930,0.000010
940,0.000010
950,0.000010
960,0.000010
970,0.000020
980,0.000020
990,0.000010
1000,0.000010
1010,0.000010
1020,0.000000
1030,0.000010
1040,0.000020
1050,0.000020
1060,0.000010
1070,0.000010
1080,0.000010
1090,0.000010
1100,0.000020
1110,0.000010
1120,0.000010
1130,0.000010
1140,0.000010
1150,0.000010
1160,0.000010
1170,0.000010
1180,0.000010
1190,0.000010
1200,0.000010
1210,0.000010
1220,0.000010
1230,0.000010
1240,0.000010
1250,0.000010
1260,0.000010
1270,0.000010
1280,0.000010
1290,0.000010
1300,0.000010
1310,0.000010
1320,0.000010
1330,0.000010
1340,0.000010
1350,0.000020
1360,0.000010
1370,0.000010
1380,0.000010
1390,0.000020
1400,0.000010
1410,0.000010
1420,0.000010
1430,0.000010
1440,0.000010
1450,0.000030
1460,0.000010
1470,0.000020
1480,0.000020
1490,0.000010
1500,0.000010
1510,0.000010
1520,0.000010
1530,0.000010
1540,0.000020
1550,0.000020
1560,0.000010
1570,0.000010
1580,0.000020
1590,0.000010
1600,0.000020
1610,0.000010
1620,0.000020
1630,0.000010
1640,0.000010
1650,0.000010
1660,0.000010
1670,0.000010
1680,0.000010
1690,0.000020
1700,0.000010
1710,0.000020
1720,0.000020
1730,0.000010
1740,0.000020
1750,0.000010
1760,0.000010
1770,0.000010
1780,0.000010
1790,0.000010
1800,0.000010
1810,0.000020
1820,0.000020
1830,0.000020
1840,0.000020
1850,0.000010
1860,0.000010
1870,0.000010
1880,0.000010
1890,0.000010
1900,0.000020
1910,0.000020
1920,0.000030
1930,0.000020
1940,0.000020
1950,0.000020
1960,0.000020
1970,0.000010
1980,0.000010
1990,0.000020
2000,0.000020
2010,0.000010
2020,0.000010
2030,0.000010
2040,0.000020
2050,0.000020
2060,0.000020
2070,0.000020
2080,0.000020
2090,0.000010
2100,0.000020
2110,0.000020
2120,0.000010
2130,0.000020
2140,0.000010
2150,0.000020
2160,0.000020
2170,0.000020
2180,0.000020
2190,0.000020
2200,0.000010
2210,0.000020
2220,0.000020
2230,0.000030
2240,0.000020
2250,0.000030
2260,0.000020
2270,0.000020
2280,0.000010
2290,0.000030
2300,0.000020
2310,0.000020
2320,0.000020
2330,0.000030
2340,0.000020
2350,0.000020
2360,0.000020
2370,0.000020
2380,0.000020
2390,0.000020
2400,0.000020
2410,0.000020
2420,0.000020
2430,0.000020
2440,0.000020
2450,0.000020
2460,0.000020
2470,0.000030
2480,0.000020
2490,0.000020
2500,0.000030
2510,0.000020
2520,0.000030
2530,0.000030
2540,0.000020
2550,0.000030
2560,0.000030
2570,0.000030
2580,0.000020
2590,0.000020
2600,0.000030
2610,0.000030
2620,0.000030
2630,0.000020
2640,0.000020
2650,0.000020
2660,0.000020
2670,0.000030
2680,0.000030
2690,0.000030
2700,0.000020
2710,0.000020
2720,0.000020
2730,0.000030
2740,0.000030
2750,0.000030
2760,0.000030
2770,0.000030
2780,0.000020
2790,0.000020
2800,0.000020
2810,0.000020
2820,0.000020
2830,0.000020
2840,0.000020
2850,0.000040
2860,0.000020
2870,0.000040
2880,0.000030
2890,0.000030
2900,0.000040
2910,0.000040
2920,0.000030
2930,0.000030
2940,0.000030
2950,0.000020
2960,0.000020
2970,0.000020
2980,0.000030
2990,0.000020
3000,0.000020
3010,0.000030
3020,0.000020
3030,0.000030
3040,0.000030
3050,0.000030
3060,0.000030
3070,0.000020
3080,0.000020
3090,0.000030
3100,0.000030
3110,0.000030
3120,0.000030
3130,0.000030
3140,0.000030
3150,0.000020
3160,0.000030
3170,0.000030
3180,0.000030
3190,0.000030
3200,0.000020
3210,0.000020
3220,0.000030
3230,0.000030
3240,0.000020
3250,0.000040
3260,0.000020
3270,0.000020
3280,0.000030
3290,0.000020
3300,0.000030
3310,0.000030
3320,0.000020
3330,0.000040
3340,0.000030
3350,0.000020
3360,0.000030
3370,0.000020
3380,0.000030
3390,0.000030
3400,0.000020
3410,0.000030
3420,0.000020
3430,0.000030
3440,0.000040
3450,0.000040
3460,0.000030
3470,0.000020
3480,0.000030
3490,0.000030
3500,0.000030
3510,0.000030
3520,0.000030
3530,0.000030
3540,0.000030
3550,0.000030
3560,0.000030
3570,0.000030
3580,0.000030
3590,0.000030
3600,0.000030
3610,0.000030
3620,0.000030
3630,0.000030
3640,0.000030
3650,0.000020
3660,0.000030
3670,0.000030
3680,0.000050
3690,0.000030
3700,0.000040
3710,0.000040
3720,0.000060
3730,0.000040
3740,0.000030
3750,0.000060
3760,0.000040
3770,0.000030
3780,0.000040
3790,0.000030
3800,0.000020
3810,0.000030
3820,0.000030
3830,0.000040
3840,0.000030
3850,0.000030
3860,0.000030
3870,0.000030
3880,0.000030
3890,0.000030
3900,0.000040
3910,0.000040
3920,0.000030
3930,0.000040
3940,0.000030
3950,0.000030
3960,0.000040
3970,0.000040
3980,0.000030
3990,0.000030
4000,0.000030
4010,0.000030
4020,0.000030
4030,0.000030
4040,0.000030
4050,0.000040
4060,0.000040
4070,0.000070
4080,0.000040
4090,0.000030
4100,0.000040
4110,0.000030
4120,0.000040
4130,0.000050
4140,0.000040
4150,0.000040
4160,0.000030
4170,0.000040
4180,0.000040
4190,0.000050
4200,0.000040
4210,0.000030
4220,0.000030
4230,0.000030
4240,0.000040
4250,0.000040
4260,0.000040
4270,0.000040
4280,0.000030
4290,0.000030
4300,0.000040
4310,0.000040
4320,0.000040
4330,0.000040
4340,0.000040
4350,0.000030
4360,0.000040
4370,0.000030
4380,0.000040
4390,0.000030
4400,0.000050
4410,0.000050
4420,0.000050
4430,0.000040
4440,0.000040
4450,0.000040
4460,0.000040
4470,0.000040
4480,0.000030
4490,0.000030
4500,0.000040
4510,0.000040
4520,0.000040
4530,0.000040
4540,0.000040
4550,0.000050
4560,0.000040
4570,0.000030
4580,0.000040
4590,0.000040
4600,0.000040
4610,0.000040
4620,0.000040
4630,0.000040
4640,0.000040
4650,0.000040
4660,0.000040
4670,0.000040
4680,0.000040
4690,0.000050
4700,0.000030
4710,0.000040
4720,0.000040
4730,0.000040
4740,0.000060
4750,0.000050
4760,0.000040
4770,0.000050
4780,0.000040
4790,0.000050
4800,0.000050
4810,0.000040
4820,0.000040
4830,0.000040
4840,0.000050
4850,0.000040
4860,0.000040
4870,0.000040
4880,0.000040
4890,0.000040
4900,0.000050
4910,0.000050
4920,0.000040
4930,0.000050
4940,0.000050
4950,0.000040
4960,0.000060
4970,0.000050
4980,0.000060
4990,0.000050
5000,0.000040
5010,0.000050
5020,0.000040
5030,0.000050
5040,0.000040
5050,0.000050
5060,0.000050
5070,0.000040
5080,0.000050
