Test Case,Array Size,Kth Smallest Element Position,Runtime
1,2700,284,0.000054
10,23,393,0.000000
12,1357,863,0.000015
13,31043,979,0.000020
15,13233,399,0.000020
17,3543,420,0.000021
25,28054,366,0.000018
52,2643,84,0.000024
55,548,36,0.000008
56,1975,718,0.000018
60,163,42,0.000003
65,1073,869,0.000015
71,16711,131,0.000025
74,5402,941,0.000019
83,17924,681,0.000019
88,737,894,0.000012
95,6248,859,0.000024
96,15925,621,0.000025
100,1004,806,0.000016
102,713,270,0.000013
104,445,16,0.000010
115,4731,296,0.000018
116,3049,406,0.000017
131,5501,171,0.000018
139,1406,815,0.000014
162,18769,473,0.000019
171,16194,234,0.000019
185,491,40,0.000008
191,28122,84,0.000019
192,22210,874,0.000020
206,20936,797,0.000028
225,11706,494,0.000023
229,7210,282,0.000019
233,3521,28,0.000023
246,26056,185,0.000018
251,16647,102,0.000019
254,4331,126,0.000019
255,3975,624,0.000017
257,77,69,0.000001
258,1639,577,0.000014
260,3306,974,0.000019
273,10808,327,0.000018
288,277,18,0.000004
290,27817,918,0.000019
298,1606,571,0.000019
299,8232,796,0.000019
303,13472,147,0.000019
304,1754,958,0.000015
305,1247,948,0.000013
306,19253,690,0.000019
329,2621,121,0.000016
332,123,60,0.000002
336,2660,97,0.000017
338,32758,301,0.000019
348,2388,863,0.000017
349,1212,703,0.000013
352,6884,248,0.000018
357,5022,358,0.000018
366,2782,968,0.000018
371,524,731,0.000007
374,1251,623,0.000013
379,1674,149,0.000015
393,2753,720,0.000018
394,10349,207,0.000019
395,2895,301,0.000018
405,5942,65,0.000025
415,6682,540,0.000019
418,20939,357,0.000025
420,27973,549,0.000019
430,744,948,0.000014
437,591,880,0.000008
445,18068,681,0.000019
448,13586,658,0.000019
450,3967,393,0.000018
457,1937,513,0.000017
465,2656,819,0.000019
470,20627,936,0.000020
480,3257,79,0.000018
491,7880,962,0.000019
495,2784,807,0.000016
509,1898,456,0.000015
511,2173,101,0.000020
530,21668,738,0.000019
532,1503,489,0.000019
544,510,275,0.000007
546,3950,536,0.000022
547,2484,988,0.000019
562,11476,800,0.000019
570,1870,389,0.000016
574,1520,33,0.000014
588,32279,21,0.000018
605,9532,580,0.000019
610,22522,933,0.000019
613,1440,737,0.000014
623,18611,323,0.000019
624,515,588,0.000007
634,366,481,0.000005
668,14726,511,0.000019
672,10610,605,0.000019
679,16834,461,0.000020
680,1459,329,0.000015
681,2033,125,0.000016
688,24931,415,0.000021
689,7399,497,0.000032
703,22729,807,0.000020
704,20674,344,0.000029
708,1621,235,0.000017
709,1588,878,0.000018
712,24740,261,0.000025
720,1481,9,0.000019
726,470,575,0.000007
728,1282,574,0.000014
742,7897,350,0.000020
746,513,135,0.000009
760,382,550,0.000008
781,13883,111,0.000030
785,5464,204,0.000023
787,4681,866,0.000024
791,25148,762,0.000023
812,166,179,0.000003
813,16898,183,0.000018
814,9542,811,0.000021
820,2428,850,0.000022
822,2303,509,0.000019
