Tree_Size,Runtime
29756,0.002000
12864,0.001000
4475,0.000000
6496,0.000000
17380,0.001000
12879,0.001000
18065,0.001000
18077,0.001000
3004,0.000000
23930,0.001000
16349,0.000000
10244,0.001000
14014,0.000000
17958,0.001000
20143,0.001000
10075,0.001000
994,0.000000
14606,0.000000
16617,0.000000
27860,0.001000
11143,0.000000
6265,0.000000
19161,0.000000
25993,0.001000
3388,0.000000
9349,0.000000
28656,0.001000
1367,0.000000
20158,0.001000
2285,0.000000
2723,0.000000
32068,0.001000
26195,0.001000
14632,0.000000
10591,0.000000
6845,0.000000
4322,0.000000
23088,0.001000
23631,0.001000
15566,0.001000
10624,0.000000
7010,0.000000
7914,0.000000
2460,0.000000
25624,0.001000
20124,0.001000
2723,0.001000
8400,0.000000
10041,0.001000
22655,0.001000
692,0.000000
745,0.001000
18069,0.001000
28291,0.000000
5122,0.000000
27849,0.001000
26377,0.001000
9467,0.000000
21268,0.000000
14685,0.000000
17014,0.000000
10988,0.000000
29465,0.001000
30373,0.001000
18999,0.000000
6152,0.000000
4294,0.000000
23947,0.000000
29548,0.001000
3584,0.000000
5376,0.000000
3935,0.000000
6330,0.000000
14628,0.000000
17674,0.000000
14601,0.001000
24542,0.001000
18034,0.001000
6625,0.000000
15842,0.001000
25782,0.001000
23404,0.001000
27022,0.001000
17715,0.000000
18260,0.000000
10751,0.000000
17136,0.001000
23003,0.000000
27229,0.001000
23660,0.001000
9380,0.000000
18174,0.001000
14973,0.001000
7267,0.000000
211,0.000000
21505,0.000000
21537,0.001000
18390,0.000000
10871,0.000000
15858,0.001000
23843,0.001000
17134,0.001000
18913,0.001000
11508,0.001000
15701,0.000000
15742,0.000000
26962,0.001000
10878,0.001000
7875,0.000000
27932,0.001000
13198,0.000000
24856,0.000000
1936,0.000000
28862,0.001000
26389,0.001000
23057,0.001000
30,0.000000
20241,0.000000
7204,0.000000
8982,0.001000
11350,0.000000
14012,0.001000
21456,0.001000
18164,0.000000
32489,0.002000
1720,0.001000
4404,0.000000
18985,0.001000
1265,0.000000
20219,0.003000
9978,0.000000
24104,0.000000
24248,0.001000
29134,0.001000
4360,0.000000
279,0.000000
13530,0.000000
13037,0.000000
13310,0.001000
13678,0.001000
