Tree_Size,Runtime
26765,0.000501
30208,0.000524
12416,0.000276
22022,0.000376
16458,0.000270
5752,0.000110
18349,0.000382
8870,0.000233
22117,0.000384
4330,0.000107
8697,0.000210
28330,0.000726
6379,0.000131
15587,0.000315
25287,0.000422
29305,0.000486
26394,0.000563
13192,0.000293
15245,0.000325
666,0.000012
19553,0.000406
15761,0.000299
19506,0.000344
12944,0.000224
8895,0.000153
6578,0.000233
11101,0.000186
4430,0.000071
21770,0.000463
8111,0.000174
19212,0.000420
6008,0.000131
2101,0.000046
16838,0.000289
20381,0.000400
12277,0.000224
15053,0.000261
30443,0.000681
23103,0.000477
17814,0.000356
16107,0.000348
5955,0.000117
12634,0.000279
19064,0.000370
23374,0.000492
26206,0.000500
30588,0.000536
26422,0.000519
29364,0.000524
30334,0.000571
13807,0.000236
8196,0.000138
4973,0.000093
6028,0.000107
29641,0.000522
14719,0.000246
28700,0.000643
27424,0.000454
6690,0.000121
22878,0.000547
30478,0.000550
6291,0.000152
19865,0.000492
13256,0.000278
32500,0.000754
12886,0.000220
25676,0.000692
15888,0.000364
22557,0.000589
10015,0.000281
10603,0.000199
10980,0.000189
32624,0.000543
3929,0.000066
12178,0.000190
23733,0.000426
28406,0.000643
3052,0.000066
5621,0.000097
11981,0.000197
19924,0.000330
6274,0.000101
972,0.000016
18012,0.000285
16748,0.000277
19127,0.000301
5854,0.000102
12694,0.000211
30973,0.000500
19311,0.000377
28969,0.000925
5285,0.000189
23479,0.000432
16347,0.000344
13214,0.000238
960,0.000016
29975,0.000523
8645,0.000153
5950,0.000105
16370,0.000338
27773,0.000471
6770,0.000111
11355,0.000194
11684,0.000208
17681,0.000445
8720,0.000169
18937,0.000327
24283,0.000523
10384,0.000205
16633,0.000303
65,0.000001
20346,0.000537
12178,0.000302
9533,0.000168
14193,0.000272
3753,0.000073
29986,0.000562
12574,0.000220
21224,0.000369
27985,0.000556
2493,0.000043
19967,0.000362
16743,0.000311
10192,0.000198
8344,0.000222
15938,0.000426
26560,0.000474
5634,0.000097
1307,0.000026
23557,0.000399
7126,0.000122
4273,0.000073
14496,0.000295
17579,0.000372
13496,0.000218
13612,0.000259
