Test Case,Average Runtime
1,0.000005
2,0.000004
3,0.000005
4,0.000004
5,0.000004
6,0.000004
7,0.000004
8,0.000004
9,0.000004
10,0.000004
11,0.000004
12,0.000004
13,0.000004
14,0.000003
15,0.000003
16,0.000005
17,0.000003
18,0.000003
19,0.000003
20,0.000002
21,0.000003
22,0.000003
23,0.000003
24,0.000003
25,0.000003
26,0.000003
27,0.000003
28,0.000003
29,0.000003
30,0.000003
31,0.000003
32,0.000003
33,0.000003
34,0.000004
35,0.000003
36,0.000003
37,0.000003
38,0.000003
39,0.000003
40,0.000005
41,0.000003
42,0.000003
43,0.000004
44,0.000003
45,0.000003
46,0.000003
47,0.000003
48,0.000003
49,0.000003
50,0.000003
51,0.000003
52,0.000003
53,0.000003
54,0.000003
55,0.000003
56,0.000003
57,0.000003
58,0.000003
59,0.000003
60,0.000003
61,0.000003
62,0.000003
63,0.000003
64,0.000005
65,0.000003
66,0.000003
67,0.000003
68,0.000003
69,0.000003
70,0.000003
71,0.000003
72,0.000003
73,0.000003
74,0.000003
75,0.000003
76,0.000003
77,0.000003
78,0.000003
79,0.000004
80,0.000003
81,0.000003
82,0.000003
83,0.000003
84,0.000003
85,0.000003
86,0.000003
87,0.000003
88,0.000003
89,0.000003
90,0.000003
91,0.000003
92,0.000003
93,0.000003
94,0.000003
95,0.000003
96,0.000003
97,0.000003
98,0.000003
99,0.000003
100,0.000003
101,0.000003
102,0.000003
103,0.000003
104,0.000003
105,0.000003
106,0.000003
107,0.000003
108,0.000003
109,0.000003
110,0.000003
111,0.000003
112,0.000005
113,0.000004
114,0.000003
115,0.000003
116,0.000003
117,0.000003
118,0.000003
119,0.000003
120,0.000000
121,0.000003
122,0.000003
123,0.000003
124,0.000003
125,0.000004
126,0.000003
127,0.000003
128,0.000003
129,0.000003
130,0.000003
131,0.000003
132,0.000003
133,0.000003
134,0.000003
135,0.000003
136,0.000003
137,0.000003
138,0.000003
139,0.000003
140,0.000003
141,0.000003
142,0.000003
143,0.000003
144,0.000003
145,0.000003
146,0.000003
147,0.000003
148,0.000003
149,0.000003
150,0.000003
151,0.000003
152,0.000003
153,0.000003
154,0.000003
155,0.000003
156,0.000003
157,0.000003
158,0.000003
159,0.000003
160,0.000004
161,0.000003
162,0.000003
163,0.000003
164,0.000003
165,0.000003
166,0.000003
167,0.000003
168,0.000003
169,0.000003
170,0.000006
171,0.000003
172,0.000003
173,0.000003
174,0.000003
175,0.000003
176,0.000003
177,0.000003
178,0.000003
179,0.000003
180,0.000003
181,0.000003
182,0.000003
183,0.000004
184,0.000004
185,0.000004
186,0.000004
187,0.000004
188,0.000005
189,0.000021
190,0.000004
191,0.000003
192,0.000004
193,0.000004
194,0.000003
195,0.000004
196,0.000004
197,0.000004
198,0.000004
199,0.000004
200,0.000004
201,0.000004
202,0.000004
203,0.000004
204,0.000004
205,0.000004
206,0.000004
207,0.000004
208,0.000003
209,0.000003
210,0.000003
211,0.000003
212,0.000003
213,0.000003
214,0.000003
215,0.000003
216,0.000003
217,0.000003
218,0.000003
219,0.000003
220,0.000003
221,0.000003
222,0.000003
223,0.000003
224,0.000003
225,0.000004
226,0.000003
227,0.000003
228,0.000003
229,0.000003
230,0.000003
231,0.000003
232,0.000003
233,0.000003
234,0.000003
235,0.000003
236,0.000003
237,0.000003
238,0.000003
239,0.000003
240,0.000003
241,0.000003
242,0.000003
243,0.000003
244,0.000003
245,0.000004
246,0.000003
247,0.000003
248,0.000003
249,0.000003
250,0.000003
251,0.000003
252,0.000003
253,0.000003
254,0.000003
255,0.000003
256,0.000003
257,0.000003
258,0.000003
259,0.000003
260,0.000003
261,0.000003
262,0.000003
263,0.000003
264,0.000003
265,0.000003
266,0.000003
267,0.000005
268,0.000006
269,0.000003
270,0.000003
271,0.000003
272,0.000003
273,0.000003
274,0.000003
275,0.000003
276,0.000003
277,0.000003
278,0.000003
279,0.000003
280,0.000003
281,0.000003
282,0.000003
283,0.000003
284,0.000003
285,0.000003
286,0.000003
287,0.000003
288,0.000003
289,0.000003
290,0.000003
291,0.000003
292,0.000003
293,0.000003
294,0.000003
295,0.000003
296,0.000003
297,0.000003
298,0.000003
299,0.000003
300,0.000003
301,0.000003
302,0.000003
303,0.000003
304,0.000003
305,0.000003
306,0.000003
307,0.000003
308,0.000003
309,0.000003
310,0.000003
311,0.000003
312,0.000003
313,0.000003
314,0.000003
315,0.000003
316,0.000003
317,0.000003
318,0.000003
319,0.000003
320,0.000003
321,0.000003
322,0.000003
323,0.000003
324,0.000003
325,0.000002
326,0.000003
327,0.000003
328,0.000003
329,0.000003
330,0.000003
331,0.000003
332,0.000003
333,0.000005
334,0.000004
335,0.000004
336,0.000005
337,0.000004
338,0.000004
339,0.000005
340,0.000004
341,0.000005
342,0.000005
343,0.000004
344,0.000005
345,0.000004
346,0.000005
347,0.000005
348,0.000004
349,0.000003
350,0.000003
351,0.000003
352,0.000003
353,0.000003
354,0.000003
355,0.000003
356,0.000003
357,0.000003
358,0.000003
359,0.000003
360,0.000003
361,0.000003
362,0.000003
363,0.000003
364,0.000003
365,0.000003
366,0.000003
367,0.000003
368,0.000003
369,0.000003
370,0.000003
371,0.000003
372,0.000003
373,0.000003
374,0.000003
375,0.000003
376,0.000003
377,0.000003
378,0.000003
379,0.000003
380,0.000003
381,0.000003
382,0.000003
383,0.000003
384,0.000003
385,0.000003
386,0.000003
387,0.000003
388,0.000003
389,0.000003
390,0.000003
391,0.000003
392,0.000003
393,0.000003
394,0.000003
395,0.000004
396,0.000003
397,0.000003
398,0.000003
399,0.000004
400,0.000003
401,0.000004
402,0.000004
403,0.000004
404,0.000007
405,0.000020
406,0.000003
407,0.000003
408,0.000003
409,0.000003
410,0.000003
411,0.000003
412,0.000003
413,0.000003
414,0.000003
415,0.000004
416,0.000003
417,0.000003
418,0.000003
419,0.000003
420,0.000003
421,0.000003
422,0.000003
423,0.000003
424,0.000003
425,0.000003
426,0.000003
427,0.000003
428,0.000003
429,0.000003
430,0.000003
431,0.000003
432,0.000003
433,0.000003
434,0.000003
435,0.000003
436,0.000003
437,0.000003
438,0.000003
439,0.000003
440,0.000006
441,0.000004
442,0.000003
443,0.000003
444,0.000003
445,0.000003
446,0.000003
447,0.000003
448,0.000003
449,0.000003
450,0.000003
451,0.000003
452,0.000003
453,0.000003
454,0.000003
455,0.000003
456,0.000003
457,0.000003
458,0.000003
459,0.000003
460,0.000003
461,0.000003
462,0.000000
463,0.000003
464,0.000021
465,0.000003
466,0.000003
467,0.000003
468,0.000002
469,0.000003
470,0.000003
471,0.000003
472,0.000003
473,0.000003
474,0.000003
475,0.000003
476,0.000003
477,0.000003
478,0.000003
479,0.000003
480,0.000003
481,0.000003
482,0.000003
483,0.000003
484,0.000002
485,0.000003
486,0.000003
487,0.000003
488,0.000003
489,0.000002
490,0.000003
491,0.000003
492,0.000003
493,0.000003
494,0.000003
495,0.000003
496,0.000003
497,0.000003
498,0.000003
499,0.000003
500,0.000003
501,0.000003
502,0.000003
503,0.000003
504,0.000003
505,0.000003
506,0.000003
507,0.000003
508,0.000004
509,0.000004
510,0.000004
511,0.000005
512,0.000005
513,0.000005
514,0.000003
515,0.000003
516,0.000003
517,0.000003
518,0.000003
519,0.000003
520,0.000003
521,0.000003
522,0.000003
523,0.000003
524,0.000003
525,0.000003
526,0.000003
527,0.000003
528,0.000003
529,0.000003
530,0.000003
531,0.000005
532,0.000005
533,0.000005
534,0.000003
535,0.000003
536,0.000003
537,0.000003
538,0.000003
539,0.000003
540,0.000003
541,0.000003
542,0.000003
543,0.000003
544,0.000003
545,0.000003
546,0.000003
547,0.000003
548,0.000003
549,0.000003
550,0.000002
551,0.000003
552,0.000004
553,0.000003
554,0.000003
555,0.000003
556,0.000003
557,0.000003
558,0.000003
559,0.000003
560,0.000003
561,0.000003
562,0.000003
563,0.000003
564,0.000003
565,0.000003
566,0.000003
567,0.000003
568,0.000003
569,0.000003
570,0.000003
571,0.000003
572,0.000003
573,0.000003
574,0.000003
575,0.000003
576,0.000003
577,0.000003
578,0.000004
579,0.000004
580,0.000003
581,0.000003
582,0.000003
583,0.000003
584,0.000004
585,0.000003
586,0.000003
587,0.000003
588,0.000003
589,0.000003
590,0.000003
591,0.000003
592,0.000003
593,0.000003
594,0.000003
595,0.000003
596,0.000003
597,0.000003
598,0.000003
599,0.000003
600,0.000003
601,0.000003
602,0.000004
603,0.000003
604,0.000003
605,0.000003
606,0.000003
607,0.000003
608,0.000003
609,0.000003
610,0.000003
611,0.000003
612,0.000003
613,0.000003
614,0.000003
615,0.000003
616,0.000003
617,0.000003
618,0.000003
619,0.000003
620,0.000003
621,0.000003
622,0.000003
623,0.000003
624,0.000003
625,0.000003
626,0.000003
627,0.000003
628,0.000003
629,0.000003
630,0.000003
631,0.000003
632,0.000003
633,0.000003
634,0.000003
635,0.000003
636,0.000003
637,0.000003
638,0.000003
639,0.000003
640,0.000003
641,0.000003
642,0.000003
643,0.000003
